q,NormalSparsity
0.0475,0.227154300438629
0.0476,0.2272629428502851
0.0477,0.2273714733589202
0.0478,0.2274798923579991
0.0479,0.2275882002387776
0.0480,0.2276963973903201
0.0481,0.2278044841995158
0.0482,0.22791246105109608
0.0483,0.22802032832765057
0.0484,0.2281280864096437
0.0485,0.22823573567543104
0.0486,0.22834327650127526
0.0487,0.22845070926136204
0.0488,0.22855803432781588
0.0489,0.22866525207071572
0.0490,0.22877236285811042
0.0491,0.22887936705603398
0.0492,0.2289862650285208
0.0493,0.22909305713762063
0.0494,0.22919974374341356
0.0495,0.22930632520402472
0.0496,0.2294128018756387
0.0497,0.2295191741125143
0.0498,0.2296254422669987
0.0499,0.22973160668954162
0.0500,0.22983766772870934
0.0501,0.2299436257311989
0.0502,0.23004948104185138
0.0503,0.23015523400366628
0.0504,0.2302608849578142
0.0505,0.23036643424365105
0.0506,0.23047188219873066
0.0507,0.2305772291588185
0.0508,0.23068247545790438
0.0509,0.23078762142821538
0.0510,0.23089266740022882
0.0511,0.23099761370268482
0.0512,0.23110246066259876
0.0513,0.231207208605274
0.0514,0.231311857854314
0.0515,0.23141640873163455
0.0516,0.231520861557476
0.0517,0.23162521665041522
0.0518,0.23172947432737723
0.0519,0.23183363490364753
0.0520,0.23193769869288303
0.0521,0.23204166600712448
0.0522,0.23214553715680722
0.0523,0.2322493124507728
0.0524,0.23235299219628047
0.0525,0.23245657669901776
0.0526,0.23256006626311215
0.0527,0.23266346119114176
0.0528,0.23276676178414613
0.0529,0.23286996834163703
0.0530,0.2329730811616093
0.0531,0.23307610054055133
0.0532,0.23317902677345517
0.0533,0.23328186015382774
0.0534,0.23338460097370026
0.0535,0.23348724952363892
0.0536,0.233589806092755
0.0537,0.23369227096871475
0.0538,0.23379464443774944
0.0539,0.23389692678466492
0.0540,0.23399911829285186
0.0541,0.2341012192442952
0.0542,0.2342032299195836
0.0543,0.23430515059791907
0.0544,0.23440698155712658
0.0545,0.2345087230736631
0.0546,0.23461037542262717
0.0547,0.2347119388777677
0.0548,0.23481341371149356
0.0549,0.23491480019488237
0.0550,0.23501609859768913
0.0551,0.23511730918835583
0.0552,0.23521843223401956
0.0553,0.23531946800052167
0.0554,0.2354204167524162
0.0555,0.23552127875297854
0.0556,0.235622054264214
0.0557,0.2357227435468661
0.0558,0.23582334686042505
0.0559,0.23592386446313587
0.0560,0.23602429661200694
0.0561,0.23612464356281798
0.0562,0.23622490557012782
0.0563,0.23632508288728304
0.0564,0.2364251757664254
0.0565,0.23652518445850002
0.0566,0.23662510921326302
0.0567,0.2367249502792895
0.0568,0.23682470790398086
0.0569,0.23692438233357288
0.0570,0.23702397381314286
0.0571,0.23712348258661747
0.0572,0.23722290889678002
0.0573,0.23732225298527773
0.0574,0.23742151509262935
0.0575,0.2375206954582321
0.0576,0.23761979432036912
0.0577,0.23771881191621635
0.0578,0.23781774848184992
0.0579,0.23791660425225294
0.0580,0.2380153794613226
0.0581,0.23811407434187692
0.0582,0.23821268912566185
0.0583,0.23831122404335783
0.0584,0.23840967932458665
0.0585,0.23850805519791807
0.0586,0.2386063518908767
0.0587,0.23870456962994815
0.0588,0.23880270864058598
0.0589,0.238900769147218
0.0590,0.23899875137325255
0.0591,0.23909665554108517
0.0592,0.2391944818721047
0.0593,0.23929223058669977
0.0594,0.23938990190426473
0.0595,0.23948749604320604
0.0596,0.23958501322094833
0.0597,0.2396824536539406
0.0598,0.23977981755766198
0.0599,0.23987710514662805
0.0600,0.23997431663439642
0.0601,0.2400714522335729
0.0602,0.2401685121558173
0.0603,0.24026549661184907
0.0604,0.24036240581145324
0.0605,0.240459239963486
0.0606,0.24055599927588045
0.0607,0.24065268395565204
0.0608,0.24074929420890454
0.0609,0.2408458302408351
0.0610,0.24094229225574018
0.0611,0.24103868045702048
0.0612,0.2411349950471869
0.0613,0.2412312362278656
0.0614,0.24132740419980336
0.0615,0.24142349916287273
0.0616,0.24151952131607773
0.0617,0.2416154708575585
0.0618,0.24171134798459679
0.0619,0.24180715289362104
0.0620,0.2419028857802114
0.0621,0.24199854683910477
0.0622,0.24209413626419984
0.0623,0.24218965424856215
0.0624,0.2422851009844289
0.0625,0.24238047666321383
0.0626,0.2424757814755122
0.0627,0.24257101561110553
0.0628,0.24266617925896639
0.0629,0.2427612726072632
0.0630,0.24285629584336482
0.0631,0.24295124915384542
0.0632,0.243046132724489
0.0633,0.2431409467402939
0.0634,0.2432356913854778
0.0635,0.24333036684348164
0.0636,0.24342497329697466
0.0637,0.24351951092785862
0.0638,0.24361397991727224
0.0639,0.24370838044559567
0.0640,0.243802712692455
0.0641,0.2438969768367263
0.0642,0.24399117305654006
0.0643,0.24408530152928576
0.0644,0.2441793624316157
0.0645,0.2442733559394494
0.0646,0.24436728222797782
0.0647,0.24446114147166742
0.0648,0.2445549338442645
0.0649,0.24464865951879894
0.0650,0.24474231866758867
0.0651,0.24483591146224332
0.0652,0.24492943807366863
0.0653,0.2450228986720701
0.0654,0.24511629342695712
0.0655,0.24520962250714687
0.0656,0.2453028860807681
0.0657,0.24539608431526522
0.0658,0.2454892173774019
0.0659,0.24558228543326505
0.0660,0.24567528864826854
0.0661,0.24576822718715702
0.0662,0.2458611012140094
0.0663,0.24595391089224314
0.0664,0.2460466563846172
0.0665,0.24613933785323627
0.0666,0.24623195545955395
0.0667,0.24632450936437678
0.0668,0.2464169997278675
0.0669,0.24650942670954873
0.0670,0.2466017904683066
0.0671,0.24669409116239394
